model,seed,test_accuracy,final_train_nll,parameter_count,train_size,test_size,train_class_counts,test_class_counts
GraphSAGE,0,0.8157894736842105,0.48918344994386037,2626,150,38,"{""0"": 50, ""1"": 100}","{""0"": 13, ""1"": 25}"
CopresheafSAGE,0,0.7894736842105263,0.45653510133425396,4811,150,38,"{""0"": 50, ""1"": 100}","{""0"": 13, ""1"": 25}"
GraphSAGE,1,0.6842105263157895,0.4548774790763855,2626,150,38,"{""0"": 46, ""1"": 104}","{""0"": 17, ""1"": 21}"
CopresheafSAGE,1,0.7105263157894737,0.38359832127889,4811,150,38,"{""0"": 46, ""1"": 104}","{""0"": 17, ""1"": 21}"
GraphSAGE,2,0.7105263157894737,0.4441318066914876,2626,150,38,"{""0"": 50, ""1"": 100}","{""0"": 13, ""1"": 25}"
CopresheafSAGE,2,0.7631578947368421,0.43365926841894786,4811,150,38,"{""0"": 50, ""1"": 100}","{""0"": 13, ""1"": 25}"
GraphSAGE,3,0.6578947368421053,0.40398622234662374,2626,150,38,"{""0"": 48, ""1"": 102}","{""0"": 15, ""1"": 23}"
CopresheafSAGE,3,0.6842105263157895,0.3554559574524562,4811,150,38,"{""0"": 48, ""1"": 102}","{""0"": 15, ""1"": 23}"
GraphSAGE,4,0.7105263157894737,0.4364810993274053,2626,150,38,"{""0"": 50, ""1"": 100}","{""0"": 13, ""1"": 25}"
CopresheafSAGE,4,0.6842105263157895,0.4214154148101807,4811,150,38,"{""0"": 50, ""1"": 100}","{""0"": 13, ""1"": 25}"
